id,title,rating,user
9686929,Strength Of Materials: Mechanics Of Solids,0,747
1843479,Structural Analysis,0,747
2180122,"Solutions Manual to Accompany Crandall, Dahl and Lardner:  An Introduction of the Mechanics of Solids",0,747
1497532,Atlas of Men: A guide for somatotyping the adult male at all ages,0,749
2110937,Vadim (Constantin Vadim #3),0,750
466913,By Design,2,750
22609358,"The Seven Sisters (The Seven Sisters, #1)",0,750
45692429,"The Ratline: Love, Lies, and Justice on the Trail of a Nazi Fugitive",5,750
51918871,City of Girls,5,750
3161299,"Dead Line (Liz Carlyle, #4)",2,750
17191452,"Just One Evil Act (Inspector Lynley, #18)",3,750
19190386,"Lauren Weisberger 5-Book Collection: The Devil Wears Prada, Revenge Wears Prada, Everyone Worth Knowing, Chasing Harry Winston, Last Night at Chateau Marmont",3,750
6678884,Never Look Away,3,750
2804776,One Fifth Avenue,4,750
23846393,"Once Upon a Time in Russia: The Rise of the Oligarchs—A True Story of Ambition, Wealth, Betrayal, and Murder",5,750
25079833,"The Silence of the Sea (Þóra Guðmundsdóttir, #6)",3,750
30642341,Degas' Dust: Joburg maverick's quest to regain Nazi war booty,2,750
18303432,"Man Down/Skrapnel (Rogue, #2; S-boek reeks, #2)",4,750
254005,"The Black Sun (Tom Kirk, #2)",4,750
18431,The Rule of Four,1,750
251679,The Heir,2,750
105290,Red Carpets and Other Banana Skins: The Autobiography,4,750
35230481,All the Beautiful Lies,3,750
13494885,Fifteen Digits,2,750
34042325,How to Talk to Men,0,751
89260,The Zen Way to Martial Arts: A Japanese Master Reveals the Secrets of the Samurai,0,751
424340,Zen in the Martial Arts,0,751
7511475,Taekwondo: A Path to Excellence,0,751
803134,Kendo: The Definitive Guide,0,751
1180145,Competitive Taekwondo,0,751
440121,"Isabel: Jewel of Castilla, Spain, 1466",0,751
1970362,A History of Russia,0,751
149748,Trespassers on the Roof of the World: The Secret Exploration of Tibet,0,751
8964259,Cuba: My Revolution,0,751
10436,Dancing With Cuba,0,751
89256,Living the Martial Way: A Manual for the Way of Modern Warrior Should Think,0,751
277307,The Healing Promise of Qi: Creating Extraordinary Wellness Through Qigong and Tai Chi,0,751
8706811,"The New Evolution Diet: What Our Paleolithic Ancestors Can Teach Us about Weight Loss, Fitness, and Aging",0,751
93426,Genghis Khan and the Making of the Modern World,0,751
6178648,Nothing to Envy: Ordinary Lives in North Korea,0,751
517220,"Rivals for the Crown (Highland, #2)",0,751
39433,Korea's Place in the Sun: A Modern History,4,751
2945962,"Anna Karenina, 2 of 2",0,751
8244792,The Korean War: A History,0,751
45735479,"When You See Me (Detective D.D. Warren, #11; Gardner Universe, #20)",0,754
40604810,Cemetery Road,0,754
2933901,"Hooked on Murder (Crochet Mystery, #1)",0,754
34927828,The Great Alone,0,754
36578942,"The 100-Year-Old Man Who Climbed Out the Window and Disappeared (The Hundred-Year-Old Man, #1)",0,754
26046821,Captive: The Untold Story of the Atlanta Hostage Hero,0,754
248086,"Don't Tell (Romantic Suspense, #1; Chicago, #1)",0,754
823971,Bone Dry (A Blanco County Mystery #2),0,754
32377,I Don't Want To Be Crazy,0,754
39855034,The Unteachables,0,754
38502449,"Rise of the Mystics (Beyond the Circle, #2)",0,754
